M4S	1314	2057
M4T	1213	2037
M4V	1282	2168
M4W	1246	2156
M4X	1721	2469
M4Y	1518	2249
M5A	1492	2228
M5B	1547	2272
M5C	1379	2172
M5E	1435	2198
M5G	1454	2252
M5H	1495	2714
M5J	1314	2036
M5K	1432	2179
M5L	1432	2179
M5M	1327	2237
M5N	1332	2208
M5P	1324	2235
M5R	1286	2074
M5S	1399	2162
M5T	1536	2194
M5W	1171	2200
M5X	1432	2179
M6A	1778	2530
M6B	1551	2339
M6C	1370	2144
M6E	1722	2348
M6G	1344	1973
M6H	1578	2180
M6J	1414	2029
M6K	1552	2202
M6L	1750	2489
M6M	1881	2531
M6N	1761	2393
M6P	1396	1973
M6R	1314	1917
M6S	1301	1926
M7A	1562	2264
M7R	1562	2264
M7Y	1341	1951
M8V	1480	2179
M8W	1334	1974
M8X	1227	1979
M8Y	1399	2070
M8Z	1348	2017
M9A	1428	2203
M9B	1381	2063
M9C	1396	1995
M9L	1956	2712
M9M	2085	2833
M9N	1854	2538
M9P	1461	2135
M9R	1638	2306
M9V	2172	2912
M9W	1902	2616
N0A	892	1442
N0B	924	1515
N0C	840	1441
N0E	850	1409
N0G	792	1400
N0H	728	1355
N0J	865	1426
N0K	866	1454
N0L	884	1477
N0M	850	1434
N0N	831	1414
N0P	869	1409
N0R	933	1536
N1A	842	1336
N1C	961	1528
N1E	1048	1605
N1G	1070	1656
N1H	1049	1594
N1K	1131	1713
N1L	1110	1744
N1M	896	1493
N1P	1166	1771
N1R	1105	1671
N1S	1056	1622
N1T	1171	1816
N2A	1128	1743
N2B	1081	1636
N2C	1360	1982
N2E	1231	1842
N2G	1293	1866
N2H	1157	1712
N2J	1131	1742
N2K	984	1586
N2L	1175	1780
N2M	1216	1788
N2N	1110	1671
N2P	1208	1889
N2R	1383	2107
N2T	1004	1601
N2V	1030	1634
N2Z	698	1352
N3A	853	1454
N3B	877	1458
N3C	1067	1645
N3E	1438	2188
N3H	1181	1780
N3L	969	1569
N3P	1013	1589
N3R	963	1518
N3S	1144	1724
N3T	1100	1738
N3V	1021	1661
N3W	1007	1603
N3Y	870	1417
N4B	876	1420
N4G	871	1454
N4K	766	1374
N4L	751	1343
N4N	743	1389
N4S	905	1468
N4T	1013	1685
N4V	993	1635
N4W	870	1510
N4X	874	1491
N4Z	898	1484
N5A	906	1473
N5C	903	1517
N5H	919	1493
N5L	834	1410
N5P	955	1513
N5R	953	1513
N5V	1349	1979
N5W	1261	1841
N5X	1132	1793
N5Y	1391	2050
N5Z	1343	1957
N6A	1319	2012
N6B	1420	2029
N6C	1188	1788
N6E	1346	1958
N6G	1205	1898
N6H	1169	1815
N6J	1208	1802
N6K	1036	1695
N6L	1438	2215
N6M	1412	2131
N6N	1149	1771
N6P	1088	1814
N7A	800	1381
N7G	868	1437
N7L	942	1477
N7M	922	1464
N7S	876	1471
N7T	931	1470
N7V	834	1370
N7W	756	1297
N7X	776	1355
N8A	942	1459
N8H	1027	1596
N8L	1064	1713
N8M	989	1574
N8N	997	1620
N8P	1108	1775
N8R	1182	1817
N8S	1117	1698
N8T	1292	1908
N8V	1131	1670
N8W	1206	1803
N8X	1416	2034
N8Y	1310	1927
N9A	1634	2287
N9B	1642	2299
N9C	1516	2129
N9E	1089	1682
N9G	1143	1777
N9H	1054	1743
N9J	1034	1649
N9K	1017	1658
N9V	987	1592
N9Y	951	1516
P0A	766	1324
P0B	822	1490
P0C	804	1448
P0E	818	1387
P0G	819	1465
P0H	737	1337
P0J	760	1405
P0K	797	1397
P0L	798	1458
P0M	799	1430
P0N	823	1544
P0P	797	1482
P0R	788	1384
P0S	772	1407
P0T	710	1391
P0V	737	1553
P0W	659	1357
P0X	743	1578
P0Y	705	1472
P1A	805	1434
P1B	808	1451
P1C	736	1430
P1H	795	1451
P1L	825	1440
P1P	852	1461
P2A	808	1454
P2B	770	1405
P2N	828	1489
P3A	931	1590
P3B	977	1657
P3C	1057	1708
P3E	866	1516
P3G	777	1397
P3L	851	1493
P3N	800	1434
P3P	801	1449
P3Y	819	1493
P4N	889	1613
P4P	849	1593
P4R	792	1531
P5A	810	1412
P5E	785	1399
P5N	762	1401
P6A	794	1434
